State,Year,Per_Capita_Personal_Consumption
New Jersey,2014,43672
New Mexico,2014,31619
New York,2014,41738
North Carolina,2014,33155
North Dakota,2014,43293
Ohio,2014,34938
Oklahoma,2014,31581
Oregon,2014,35437
Pennsylvania,2014,39198
Rhode Island,2014,38074
South Carolina,2014,33067
South Dakota,2014,35488
Tennessee,2014,32479
Texas,2014,35210
Utah,2014,30707
Vermont,2014,42772
Virginia,2014,38804
Washington,2014,39577
West Virginia,2014,32157
Wisconsin,2014,35812
Wyoming,2014,39563
Alabama,2015,31123
Alaska,2015,45019
Arizona,2015,35009
Arkansas,2015,30761
California,2015,40951
Colorado,2015,40883
Connecticut,2015,46698
Delaware,2015,41886
Florida,2015,39924
Georgia,2015,34033
Hawaii,2015,39543
Idaho,2015,30554
Illinois,2015,39180
Indiana,2015,33609
Iowa,2015,34608
Kansas,2015,34839
Kentucky,2015,32338
Louisiana,2015,33707
Maine,2015,39641
Maryland,2015,41317
Massachusetts,2015,47715
Michigan,2015,36754
Minnesota,2015,41010
Mississippi,2015,29488
Missouri,2015,36446
Montana,2015,38016
Nebraska,2015,36880
Nevada,2015,36297
New Hampshire,2015,45937
New Jersey,2015,44520
New Mexico,2015,32291
New York,2015,42753
North Carolina,2015,34166
North Dakota,2015,43351
Ohio,2015,35897
Oklahoma,2015,31789
Oregon,2015,36853
Pennsylvania,2015,40186
Rhode Island,2015,39029
South Carolina,2015,33944
South Dakota,2015,36510
Tennessee,2015,33223
Texas,2015,36046
Utah,2015,31656
Vermont,2015,43233
Virginia,2015,39386
Washington,2015,40650
West Virginia,2015,33122
Wisconsin,2015,36628
Wyoming,2015,39651
Alabama,2016,31999
Alaska,2016,45704
Arizona,2016,35871
Arkansas,2016,31829
California,2016,42472
Colorado,2016,42290
Connecticut,2016,47589
Delaware,2016,42558
Florida,2016,40691
Georgia,2016,35010
Hawaii,2016,40236
Idaho,2016,31591
Illinois,2016,40356
Indiana,2016,34625
Iowa,2016,35629
Kansas,2016,35643
Kentucky,2016,33300
Louisiana,2016,34426
Maine,2016,41396
Maryland,2016,42119
Massachusetts,2016,49052
Michigan,2016,38081
Minnesota,2016,42020
Mississippi,2016,30194
Missouri,2016,37331
Montana,2016,38359
Nebraska,2016,37860
Nevada,2016,37347
New Hampshire,2016,46876
New Jersey,2016,45594
New Mexico,2016,32895
New York,2016,44002
North Carolina,2016,35040
North Dakota,2016,43092
Ohio,2016,36833
Oklahoma,2016,32268
Oregon,2016,37857
Pennsylvania,2016,41001
Rhode Island,2016,39819
South Carolina,2016,34964
South Dakota,2016,37565
Tennessee,2016,34297
Texas,2016,36755
Utah,2016,33009
Vermont,2016,43651
Virginia,2016,40161
Washington,2016,41933
West Virginia,2016,34298
Wisconsin,2016,37575
Wyoming,2016,40450
Alabama,2017,33014
Alaska,2017,47075
Arizona,2017,37691
Arkansas,2017,32786
California,2017,44443
Colorado,2017,44286
Connecticut,2017,49085
Delaware,2017,43874
Florida,2017,42109
Georgia,2017,36469
Hawaii,2017,42053
Idaho,2017,32708
Illinois,2017,41754
Indiana,2017,36171
Iowa,2017,36788
Kansas,2017,36709
Kentucky,2017,34455
Louisiana,2017,35578
Maine,2017,43241
Maryland,2017,43142
Massachusetts,2017,50984
Michigan,2017,39450
Minnesota,2017,43519
Mississippi,2017,30951
Missouri,2017,38477
Montana,2017,39682
Nebraska,2017,38865
Nevada,2017,39020
New Hampshire,2017,49081
New Jersey,2017,46727
New Mexico,2017,33852
