State,Year,Per_Capita_Personal_Income
Mississippi,2015,35100
Missouri,2015,42677
Montana,2015,43095
Nebraska,2015,49708
Nevada,2015,43799
New Hampshire,2015,54161
New Jersey,2015,58408
New Mexico,2015,37752
New York,2015,56608
North Carolina,2015,41632
North Dakota,2015,52972
Ohio,2015,43799
Oklahoma,2015,44279
Oregon,2015,44166
Pennsylvania,2015,49291
Rhode Island,2015,48049
South Carolina,2015,39598
South Dakota,2015,48308
Tennessee,2015,41937
Texas,2015,46767
Utah,2015,39881
Vermont,2015,48117
Virginia,2015,51617
Washington,2015,52408
West Virginia,2015,37068
Wisconsin,2015,45928
Wyoming,2015,56120
Alabama,2016,38704
Alaska,2016,55536
Arizona,2016,41173
Arkansas,2016,40181
California,2016,55862
Colorado,2016,51312
Connecticut,2016,67551
Delaware,2016,48186
Florida,2016,45730
Georgia,2016,42742
Hawaii,2016,48561
Idaho,2016,39653
Illinois,2016,51347
Indiana,2016,43143
Iowa,2016,45669
Kansas,2016,46717
Kentucky,2016,39319
Louisiana,2016,42132
Maine,2016,44234
Maryland,2016,56606
Massachusetts,2016,63476
Michigan,2016,44080
Minnesota,2016,51982
Mississippi,2016,35638
Missouri,2016,43826
Montana,2016,43301
Nebraska,2016,48688
Nevada,2016,44715
New Hampshire,2016,55677
New Jersey,2016,59776
New Mexico,2016,38474
New York,2016,58400
North Carolina,2016,42596
North Dakota,2016,51298
Ohio,2016,44574
Oklahoma,2016,42053
Oregon,2016,45467
Pennsylvania,2016,50572
Rhode Island,2016,48515
South Carolina,2016,40752
South Dakota,2016,48284
Tennessee,2016,42938
Texas,2016,45868
Utah,2016,41295
Vermont,2016,48827
Virginia,2016,52656
Washington,2016,54296
West Virginia,2016,37075
Wisconsin,2016,46595
Wyoming,2016,53419
Alabama,2017,39968
Alaska,2017,56500
Arizona,2017,43255
Arkansas,2017,41403
California,2017,58214
Colorado,2017,54176
Connecticut,2017,69147
Delaware,2017,49997
Florida,2017,48447
Georgia,2017,44836
Hawaii,2017,50506
Idaho,2017,41197
Illinois,2017,53056
Indiana,2017,44568
Iowa,2017,46767
Kansas,2017,48271
Kentucky,2017,40403
Louisiana,2017,43486
Maine,2017,45905
Maryland,2017,58245
Massachusetts,2017,66069
Michigan,2017,45264
Minnesota,2017,53826
Mississippi,2017,36579
Missouri,2017,44781
Montana,2017,45369
Nebraska,2017,49533
Nevada,2017,46991
New Hampshire,2017,57878
New Jersey,2017,61704
New Mexico,2017,39196
New York,2017,62206
North Carolina,2017,44219
North Dakota,2017,51830
Ohio,2017,46114
Oklahoma,2017,43873
Oregon,2017,47566
Pennsylvania,2017,51886
Rhode Island,2017,50414
South Carolina,2017,42385
South Dakota,2017,49408
Tennessee,2017,44407
Texas,2017,48524
Utah,2017,43030
Vermont,2017,50009
Virginia,2017,54377
Washington,2017,56800
West Virginia,2017,38841
Wisconsin,2017,48311
Wyoming,2017,56378
Alabama,2018,41324
Alaska,2018,58997
Arizona,2018,45297
Arkansas,2018,43031
California,2018,60984
Colorado,2018,57798
Connecticut,2018,72159
Delaware,2018,52670
Florida,2018,51015
