state_name,spliced_formations_per_quarter,year
indiana,87.75,2013
indiana,85.75,2014
indiana,91.25,2015
indiana,88.25,2016
indiana,89.75,2017
indiana,89.5,2018
indiana,88.25,2019
indiana,89.25,2020
indiana,105.0,2021
indiana,109.75,2022
indiana,115.75,2023
indiana,111.5,2024
kentucky,91.25,2005
kentucky,84.75,2006
kentucky,77.75,2007
kentucky,65.5,2008
kentucky,63.0,2009
kentucky,62.75,2010
kentucky,62.25,2011
kentucky,61.5,2012
kentucky,65.25,2013
kentucky,58.25,2014
kentucky,60.25,2015
kentucky,58.0,2016
kentucky,58.0,2017
kentucky,58.5,2018
kentucky,54.5,2019
kentucky,51.0,2020
kentucky,59.5,2021
kentucky,63.0,2022
kentucky,69.75,2023
kentucky,65.0,2024
maryland,152.5,2005
maryland,136.75,2006
maryland,119.5,2007
maryland,95.25,2008
maryland,88.25,2009
maryland,85.25,2010
maryland,86.25,2011
maryland,88.0,2012
maryland,93.75,2013
maryland,89.5,2014
maryland,89.5,2015
maryland,86.5,2016
maryland,87.0,2017
maryland,89.75,2018
maryland,80.75,2019
maryland,75.5,2020
maryland,84.75,2021
maryland,84.5,2022
maryland,84.75,2023
maryland,80.0,2024
michigan,233.75,2005
michigan,209.0,2006
michigan,189.5,2007
michigan,155.75,2008
michigan,142.0,2009
michigan,146.25,2010
michigan,144.25,2011
michigan,138.0,2012
michigan,139.5,2013
michigan,139.75,2014
michigan,139.5,2015
michigan,134.25,2016
michigan,137.5,2017
michigan,139.5,2018
michigan,128.5,2019
michigan,120.5,2020
michigan,144.5,2021
michigan,141.5,2022
michigan,145.25,2023
michigan,135.75,2024
mississippi,64.25,2005
mississippi,66.25,2006
mississippi,58.0,2007
mississippi,44.0,2008
mississippi,39.5,2009
mississippi,41.25,2010
mississippi,39.75,2011
mississippi,39.5,2012
mississippi,39.75,2013
mississippi,40.0,2014
mississippi,39.25,2015
mississippi,38.75,2016
mississippi,37.25,2017
mississippi,37.25,2018
mississippi,35.75,2019
mississippi,35.5,2020
mississippi,41.25,2021
mississippi,43.75,2022
mississippi,41.25,2023
mississippi,37.75,2024
new hampshire,39.75,2005
new hampshire,34.75,2006
new hampshire,33.0,2007
new hampshire,26.5,2008
new hampshire,25.75,2009
new hampshire,22.5,2010
new hampshire,23.0,2011
new hampshire,23.25,2012
new hampshire,21.75,2013
new hampshire,21.75,2014
new hampshire,22.75,2015
new hampshire,23.5,2016
new hampshire,24.0,2017
new hampshire,25.75,2018
new hampshire,23.25,2019
new hampshire,22.75,2020
new hampshire,25.5,2021
new hampshire,26.5,2022
new hampshire,27.75,2023
new hampshire,29.25,2024
new york,591.75,2005
new york,557.25,2006
new york,534.5,2007
new york,477.75,2008
new york,474.0,2009
new york,491.25,2010
new york,488.75,2011
new york,483.25,2012
new york,493.25,2013
new york,471.5,2014
new york,489.5,2015
new york,461.0,2016
new york,456.0,2017
new york,451.0,2018
new york,409.75,2019
new york,330.75,2020
new york,411.75,2021
new york,413.5,2022
new york,435.25,2023
new york,412.25,2024
north dakota,21.25,2005
north dakota,19.5,2006
north dakota,18.5,2007
north dakota,18.0,2008
north dakota,15.0,2009
north dakota,18.25,2010
north dakota,25.5,2011
north dakota,24.0,2012
north dakota,20.5,2013
north dakota,22.0,2014
north dakota,17.0,2015
north dakota,17.0,2016
north dakota,15.75,2017
north dakota,15.75,2018
north dakota,15.5,2019
north dakota,14.0,2020
north dakota,17.5,2021
north dakota,17.0,2022
north dakota,18.0,2023
north dakota,17.5,2024
ohio,233.0,2005
